You are a quality evaluator for Nablarch knowledge files used by AI agents in mission-critical enterprise system development.

## Context

Nabledge provides AI agents with Nablarch framework knowledge. The knowledge files are the ONLY information source for the agent.

## Task

Evaluate the following residual findings and determine their user impact.

## File: `libraries-07_TagReference--s1`

### Residual Findings

```json
[
  {
    "category": "hints_missing",
    "severity": "minor",
    "location": "index[s2].hints",
    "description": "Two RST ref targets in s2 are listed without the 'WebView_' prefix — 'ConfirmationPageTag' and 'IgnoreConfirmationTag' — while every other equivalent hint in the same section uses the full 'WebView_Xxx' form (e.g. 'WebView_ForInputPageTag', 'WebView_RadioButtonsTag'). A query using the canonical name 'WebView_ConfirmationPageTag' or 'WebView_IgnoreConfirmationTag' would not match these hints.",
    "source_evidence": "Source RST ref targets: :ref:`WebView_ConfirmationPageTag` and :ref:`WebView_IgnoreConfirmationTag`. All other tags in the same section are represented in hints as 'WebView_RadioButtonsTag', 'WebView_CheckboxesTag', etc."
  }
]
```

### Source (RST)

```
.. _WebView_TagReference:

================================================
タグリファレンス
================================================

---------------------------
カスタムタグ一覧
---------------------------

========================================== ==========================================================================================
タグ                                       | 機能
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
value                                  | XHTMLのvalue属性。
type                                   | XHTMLのtype属性。
disabled                               | XHTMLのdisabled属性。
autofocus                              | HTML5のautofocus属性。
allowDoubleSubmission                  | 二重サブミットを許可するか否か。
                                       | 許可する場合はtrue、許可しない場合はfalse。
                                       | デフォルトはtrue。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_SubmitLinkTag:

submitLinkタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
shape                                  | XHTMLのshape属性。
coords                                 | XHTMLのcoords属性。
allowDoubleSubmission                  | 二重サブミットを許可するか否か。
                                       | 許可する場合はtrue、許可しない場合はfalse。
                                       | デフォルトはtrue。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_PopupSubmitTag:

popupSubmitタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
type(必須)                             | XHTMLのtype属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
disabled                               | XHTMLのdisabled属性。
value                                  | XHTMLのvalue属性。
src                                    | XHTMLのsrc属性。
alt                                    | XHTMLのalt属性。
usemap                                 | XHTMLのusemap属性。
align                                  | XHTMLのalign属性。
autofocus                              | HTML5のautofocus属性。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
popupWindowName                        | ポップアップのウィンドウ名。
                                       | 新しいウィンドウを開く際にwindwo.open関数の第2引数(JavaScript)に指定する。
popupOption                            | ポップアップのオプション情報。
                                       | 新しいウィンドウを開く際にwindwo.open関数の第3引数(JavaScript)に指定する。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_PopupButtonTag:

popupButtonタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
value                                  | XHTMLのvalue属性。
type                                   | XHTMLのtype属性。
disabled                               | XHTMLのdisabled属性。
autofocus                              | HTML5のautofocus属性。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
popupWindowName                        | ポップアップのウィンドウ名。
                                       | 新しいウィンドウを開く際にwindwo.open関数の第2引数(JavaScript)に指定する。
popupOption                            | ポップアップのオプション情報。
                                       | 新しいウィンドウを開く際にwindwo.open関数の第3引数(JavaScript)に指定する。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_PopupLinkTag:

popupLinkタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
shape                                  | XHTMLのshape属性。
coords                                 | XHTMLのcoords属性。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
popupWindowName                        | ポップアップのウィンドウ名。
                                       | 新しいウィンドウを開く際にwindwo.open関数の第2引数(JavaScript)に指定する。
popupOption                            | ポップアップのオプション情報。
                                       | 新しいウィンドウを開く際にwindwo.open関数の第3引数(JavaScript)に指定する。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_DownloadSubmitTag:

downloadSubmitタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
type(必須)                             | XHTMLのtype属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
disabled                               | XHTMLのdisabled属性。
value                                  | XHTMLのvalue属性。
src                                    | XHTMLのsrc属性。
alt                                    | XHTMLのalt属性。
usemap                                 | XHTMLのusemap属性。
align                                  | XHTMLのalign属性。
autofocus                              | HTML5のautofocus属性。
allowDoubleSubmission                  | 二重サブミットを許可するか否か。
                                       | 許可する場合はtrue、許可しない場合はfalse。
                                       | デフォルトはtrue。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_DownloadButtonTag:

downloadButtonタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
value                                  | XHTMLのvalue属性。
type                                   | XHTMLのtype属性。
disabled                               | XHTMLのdisabled属性。
autofocus                              | HTML5のautofocus属性。
allowDoubleSubmission                  | 二重サブミットを許可するか否か。
                                       | 許可する場合はtrue、許可しない場合はfalse。
                                       | デフォルトはtrue。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_DownloadLinkTag:

downloadLinkタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name                                   | XHTMLのname属性。
uri(必須)                              | URI。
                                       | :ref:`WebView_SpecifyUri` を参照。
shape                                  | XHTMLのshape属性。
coords                                 | XHTMLのcoords属性。
allowDoubleSubmission                  | 二重サブミットを許可するか否か。
                                       | 許可する場合はtrue、許可しない場合はfalse。
                                       | デフォルトはtrue。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
displayMethod                          | 認可判定と開閉局判定の結果に応じて表示制御を行う場合の表示方法。
                                       | 下記のいずれかを指定する。
                                       | NODISPLAY (非表示)
                                       | DISABLED (非活性)
                                       | NORMAL (通常表示)
====================================== ==========================================================================================

.. _WebView_ParamTag:

paramタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
paramName(必須)                        | サブミット時に使用するパラメータの名前。
name                                   | 値を取得するための名前。name属性とvalue属性のどちらか一方を指定する。
value                                  | 値。直接値を指定する場合に使用する。name属性とvalue属性のどちらか一方を指定する。
====================================== ==========================================================================================

.. _WebView_ChangeParamNameTag:

changeParamNameタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
paramName(必須)                        | サブミット時に使用するパラメータの名前。
inputName(必須)                        | 変更元となる元画面のinput要素のname属性。
====================================== ==========================================================================================

.. _WebView_ATag:

aタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
charset                                | XHTMLのcharset属性。
type                                   | XHTMLのtype属性。
name                                   | XHTMLのname属性。
href                                   | XHTMLのhref属性。
                                       | :ref:`WebView_SpecifyUri` を参照。
hreflang                               | XHTMLのhreflang属性。
rel                                    | XHTMLのrel属性。
rev                                    | XHTMLのrev属性。
shape                                  | XHTMLのshape属性。
coords                                 | XHTMLのcoords属性。
target                                 | XHTMLのtarget属性。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
====================================== ==========================================================================================

.. _WebView_ImgTag:

imgタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
src(必須)                              | XHTMLのcharsrc属性。
                                       | :ref:`WebView_SpecifyUri` を参照。
alt(必須)                              | XHTMLのalt属性。
name                                   | XHTMLのname属性。
longdesc                               | XHTMLのlongdesc属性。
height                                 | XHTMLのheight属性。
width                                  | XHTMLのwidth属性。
usemap                                 | XHTMLのusemap属性。
ismap                                  | XHTMLのismap属性。
align                                  | XHTMLのalign属性。
border                                 | XHTMLのborder属性。
hspace                                 | XHTMLのhspace属性。
vspace                                 | XHTMLのvspace属性。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
====================================== ==========================================================================================

.. _WebView_LinkTag:

linkタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
charset                                | XHTMLのcharset属性。
href                                   | XHTMLのhref属性。
                                       | :ref:`WebView_SpecifyUri` を参照。
hreflang                               | XHTMLのhreflang属性。
type                                   | XHTMLのtype属性。
rel                                    | XHTMLのrel属性。
rev                                    | XHTMLのrev属性。
media                                  | XHTMLのmedia属性。
target                                 | XHTMLのtarget属性。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
====================================== ==========================================================================================

.. _WebView_ScriptTag:

scriptタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
type(必須)                             | XHTMLのtype属性。
id                                     | XHTMLのid属性。
charset                                | XHTMLのcharset属性。
language                               | XHTMLのlanguage属性。
src                                    | XHTMLのsrc属性。
                                       | :ref:`WebView_SpecifyUri` を参照。
defer                                  | XHTMLのdefer属性。
xmlSpace                               | XHTMLのxml:space属性。
secure                                 | URIをhttpsにするか否か。
                                       | httpsにする場合はtrue、しない場合はfalse。
====================================== ==========================================================================================

.. _WebView_ErrorsTag:

errorsタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
cssClass                               | リスト表示においてulタグに使用するCSSクラス名。
                                       | デフォルトは"nablarch_errors"。
infoCss                                | 情報レベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_info"。
warnCss                                | 警告レベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_warn"。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
filter                                 | リストに含めるメッセージのフィルタ条件。
                                       | 下記のいずれかを指定する。
                                       | all(全てのメッセージを表示する)
                                       | global(入力項目に対応しないメッセージのみを表示)
                                       | デフォルトはall。
                                       | globalの場合、ValidationResultMessageのプロパティ名が入っているメッセージを取り除いて出力する。
====================================== ==========================================================================================

.. _WebView_ErrorTag:

errorタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
name(必須)                             | エラーメッセージを表示する入力項目のname属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
messageFormat                          | メッセージ表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       | デフォルトはdiv。
====================================== ==========================================================================================

.. _WebView_NoCacheTag:

noCacheタグ
-------------------------
| 属性なし。

.. _WebView_CodeSelectTag:

codeSelectタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
name(必須)                             | XHTMLのname属性。
codeId(必須)                           | コードID。
size                                   | XHTMLのsize属性。
multiple                               | XHTMLのmultiple属性。
disabled                               | XHTMLのdisabled属性。
tabindex                               | XHTMLのtabindex属性。
onfocus                                | XHTMLのonfocus属性。
onblur                                 | XHTMLのonblur属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
pattern                                | 使用するパターンのカラム名。
                                       | デフォルトは指定なし。
optionColumnName                       | 取得するオプション名称のカラム名。
labelPattern                           | ラベルを整形するパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       | $NAME$: コード値に対応するコード名称
                                       | $SHORTNAME$: コード値に対応するコードの略称
                                       | $OPTIONALNAME$: コード値に対応するコードのオプション名称
                                       |                 $OPTIONALNAME$を使用する場合は、optionColumnName属性の指定が必須となる。
                                       | $VALUE$: コード値
                                       | 
                                       | デフォルトは"$NAME$"。
listFormat                             | リスト表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   br(brタグ)
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       |   ul(ulタグ)
                                       |   ol(olタグ)
                                       |   sp(スペース区切り)
                                       | デフォルトはbr。
withNoneOption                         | リスト先頭に選択なしのオプションを追加するか否か。
                                       | 追加する場合はtrue、追加しない場合はfalse。
                                       | デフォルトはfalse。
noneOptionLabel                        | リスト先頭に選択なしのオプションを追加する場合に使用するラベル。
                                       | この属性は、withNoneOptionにtrueを指定した場合のみ有効となる。
                                       | デフォルトは""。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================


.. _WebView_CodeRadioButtonsTag:

codeRadioButtonsタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | id属性は指定不可。
:ref:`WebView_FocusAttributesTag`      | accesskey属性は指定不可。
name(必須)                             | XHTMLのname属性。
codeId(必須)                           | コードID。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
                                       | 選択肢のうち、先頭要素のみautofocus属性を出力する。
pattern                                | 使用するパターンのカラム名。
                                       | デフォルトは指定なし。
optionColumnName                       | 取得するオプション名称のカラム名。
labelPattern                           | ラベルを整形するパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       | $NAME$: コード値に対応するコード名称
                                       | $SHORTNAME$: コード値に対応するコードの略称
                                       | $OPTIONALNAME$: コード値に対応するコードのオプション名称
                                       |                 $OPTIONALNAME$を使用する場合は、optionColumnName属性の指定が必須となる。
                                       | $VALUE$: コード値
                                       | 
                                       | デフォルトは"$NAME$"。
listFormat                             | リスト表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   br(brタグ)
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       |   ul(ulタグ)
                                       |   ol(olタグ)
                                       |   sp(スペース区切り)
                                       | デフォルトはbr。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_CodeCheckboxesTag:

codeCheckboxesタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | id属性は指定不可。
:ref:`WebView_FocusAttributesTag`      | accesskey属性は指定不可。
name(必須)                             | XHTMLのname属性。
codeId(必須)                           | コードID。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
autofocus                              | HTML5のautofocus属性。
                                       | 選択肢のうち、先頭要素のみautofocus属性を出力する。
pattern                                | 使用するパターンのカラム名。
                                       | デフォルトは指定なし。
optionColumnName                       | 取得するオプション名称のカラム名。
labelPattern                           | ラベルを整形するパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       | $NAME$: コード値に対応するコード名称
                                       | $SHORTNAME$: コード値に対応するコードの略称
                                       | $OPTIONALNAME$: コード値に対応するコードのオプション名称
                                       |                 $OPTIONALNAME$を使用する場合は、optionColumnName属性の指定が必須となる。
                                       | $VALUE$: コード値
                                       | 
                                       | デフォルトは"$NAME$"。
listFormat                             | リスト表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   br(brタグ)
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       |   ul(ulタグ)
                                       |   ol(olタグ)
                                       |   sp(スペース区切り)
                                       | デフォルトはbr。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_CodeCheckboxTag:

codeCheckboxタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
:ref:`WebView_GenericAttributesTag`    | 
:ref:`WebView_FocusAttributesTag`      | 
name(必須)                             | XHTMLのname属性。
value                                  | XHTMLのvalue属性。
                                       | チェックありの場合に使用するコード値。
                                       | デフォルトは"1"。
autofocus                              | HTML5のautofocus属性。
codeId(必須)                           | コードID。
optionColumnName                       | 取得するオプション名称のカラム名。
labelPattern                           | ラベルを整形するパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       | $NAME$: コード値に対応するコード名称
                                       | $SHORTNAME$: コード値に対応するコードの略称
                                       | $OPTIONALNAME$: コード値に対応するコードのオプション名称
                                       |                 $OPTIONALNAME$を使用する場合は、optionColumnName属性の指定が必須となる。
                                       | $VALUE$: コード値
                                       | 
                                       | デフォルトは"$NAME$"。
offCodeValue                           | チェックなしの場合に使用するコード値。
                                       | offCodeValue属性が指定されない場合は、
                                       | codeId属性の値からチェックなしの場合に使用するコード値を検索する。
                                       | 検索結果が2件、かつ1件がvalue属性の値である場合は、
                                       | 残りの1件をチェックなしのコード値として使用する。
                                       | 検索で見つからない場合は、デフォルト値の"0"を使用する。
disabled                               | XHTMLのdisabled属性。
onchange                               | XHTMLのonchange属性。
errorCss                               | エラーレベルのメッセージに使用するCSSクラス名。
                                       | デフォルトは"nablarch_error"。
nameAlias                              | name属性のエイリアスを設定する。
                                       | 複数指定する場合はカンマ区切り。
====================================== ==========================================================================================

.. _WebView_CodeTag:

codeタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
name                                   | 表示対象のコード値を変数スコープから取得する際に使用する名前
                                       | 省略した場合は、コードID属性とpattern属性にて絞り込んだコードの一覧を表示する。
codeId(必須)                           | コードID。
pattern                                | 使用するパターンのカラム名。
                                       | デフォルトは指定なし。
optionColumnName                       | 取得するオプション名称のカラム名。
labelPattern                           | ラベルを整形するパターン。
                                       | 
                                       | プレースホルダを下記に示す。
                                       | $NAME$: コード値に対応するコード名称
                                       | $SHORTNAME$: コード値に対応するコードの略称
                                       | $OPTIONALNAME$: コード値に対応するコードのオプション名称
                                       |                 $OPTIONALNAME$を使用する場合は、optionColumnName属性の指定が必須となる。
                                       | $VALUE$: コード値
                                       | 
                                       | デフォルトは"$NAME$"。
listFormat                             | リスト表示時に使用するフォーマット。
                                       | 下記のいずれかを指定する。
                                       |   br(brタグ)
                                       |   div(divタグ)
                                       |   span(spanタグ)
                                       |   ul(ulタグ)
                                       |   ol(olタグ)
                                       |   sp(スペース区切り)
                                       | デフォルトはbr。
====================================== ==========================================================================================

.. _WebView_MessageTag:

messageタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
messageId(必須)                        | メッセージID。
option0～option9                       | メッセージフォーマットに使用するインデックスが0～9のオプション引数。
                                       | 最大10個までオプション引数が指定できる。
language                               | メッセージの言語。
                                       | デフォルトはスレッドコンテキストに設定された言語。
var                                    | リクエストスコープに格納する際に使用する変数名。
                                       | var属性が指定された場合はメッセージを出力せずにリクエストスコープに設定する。
                                       | リクエストスコープに設定する場合はHTMLエスケープとHTMLフォーマットを行わない。
htmlEscape                             | HTMLエスケープをするか否か。
                                       | HTMLエスケープをする場合はtrue、しない場合はfalse。
                                       | デフォルトはtrue。
withHtmlFormat                         | HTMLフォーマット(改行と半角スペースの変換)をするか否か。
                                       | HTMLフォーマットはHTMLエスケープをする場合のみ有効となる。
                                       | デフォルトはtrue。
====================================== ==========================================================================================

.. _WebView_WriteTag:

writeタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
name(必須)                             | 表示対象の値を変数スコープから取得する際に使用する名前
withHtmlFormat                         | HTMLフォーマット(改行と半角スペースの変換)をするか否か。
                                       | HTMLフォーマットはHTMLエスケープをする場合のみ有効となる。
                                       | デフォルトはtrue。
valueFormat                            | 出力時のフォーマット。
                                       | 
                                       | フォーマットは、"データタイプ{パターン}"形式で指定する。
                                       | フレームワークがデフォルトでサポートしているフォーマットを下記に示す。
                                       | **dateTimeはwriteタグのみで使用できる。**
                                       | 
                                       | yyyymmdd:
                                       
                                        | 年月日のフォーマット。
                                        | 値はyyyyMMdd形式またはパターン形式の文字列を指定する。
                                        | パターンにはjava.text.SimpleDateFormatが規定している構文を指定する。
                                        | **パターン文字には、y(年)、M(月)、d(月における日)のみ指定可能。**
                                        |  :ref:`WebView_CustomTagConfig` を使用してパターンのデフォルト値を設定することができる。
                                        | valueFormat属性の指定例を下記に示す。
                                       
                                        .. code-block:: bash
                                        
                                         # デフォルトのパターンを使用する場合。
                                         valueFormat="yyyymmdd"
                                         
                                         # パターンを指定する場合。
                                         valueFormat="yyyymmdd{yyyy/MM/dd}"

                                       |
                                       | yyyymm:
                                       
                                        | 年月のフォーマット。
                                        | 値はyyyyMM形式またはパターン形式の文字列を指定する。使用方法は、yyyymmddと同様。

                                       | dateTime:
                                       
                                        | 日時のフォーマット。
                                        | 値はjava.util.Date型を指定する。
                                        | パターンにはjava.text.SimpleDateFormatが規定している構文を指定する。
                                        | ThreadContextに設定されたタイムゾーンを使用して、タイムゾーンに応じた日時が出力される。
                                        | 区切り文字"|"を使用してパターンに直接タイムゾーンを指定することができる。
                                        | タイムゾーンはパターンの末尾に付加する。
                                        |  :ref:`WebView_CustomTagConfig` を使用して、パターンのデフォルト値の設定と、区切り文字"|"の変更を行うことができる。
                                        | valueFormat属性の指定例を下記に示す。
                                       
                                        .. code-block:: bash
                                        
                                         # デフォルトのパターンとThreadContextに設定されたタイムゾーンを使用する場合。
                                         valueFormat="datetime"
                                         
                                         # デフォルトのパターンを使用し、タイムゾーンのみ指定する場合。
                                         valueFormat="datetime{|Asia/Tokyo}"
                                         
                                         # ThreadContextに設定されたタイムゾーンを使用し、パターンのみ指定する場合。
                                         valueFormat="datetime{yy/MM/dd HH:mm:ss}"
                                         
                                         # パターンとタイムゾーンを指定する場合。
                                         valueFormat="datetime{yy/MM/dd HH:mm:ss|Asia/Tokyo}"
                                       
                                       | decimal:
                                       
                                        | 10進数のフォーマット。
                                        | 値はjava.lang.Number型又は数字の文字列を指定する。
                                        | 文字列の場合、言語に対応する1000の区切り文字を取り除いた後でフォーマットされる。
                                        | パターンにはjava.text.DecimalFormatが規定している構文を指定する。
                                        | ThreadContextに設定された言語が使用して、言語に応じた形式で値が出力される。
                                        | 区切り文字"|"を使用してパターンに直接言語を指定することができる。
                                        | 言語はパターンの末尾に付加する。
                                        |  :ref:`WebView_CustomTagConfig` を使用して、区切り文字"|"の変更を行うことができる。
                                        | valueFormat属性の指定例を下記に示す。
                                       
                                        .. code-block:: bash
                                        
                                         # ThreadContextに設定された言語を使用し、パターンのみ指定する場合。
                                         valueFormat="decimal{###,###,###.000}"
                                         
                                         # パターンと言語を指定する場合。
                                         valueFormat="decimal{###,###,###.000|ja}"
                                       
====================================== ==========================================================================================


.. _WebView_PrettyPrintTag:

prettyPrintタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
name(必須)                             | 表示対象の値を変数スコープから取得する際に使用する名前
====================================== ==========================================================================================



.. _WebView_RawWriteTag:

rawWriteタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
name(必須)                             | 表示対象の値を変数スコープから取得する際に使用する名前
====================================== ==========================================================================================


.. _WebView_SetTag:

setタグ
^^^^^^^^^^^^^^^^^^^^^

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
var(必須)                              | リクエストスコープに格納する際に使用する変数名。
name                                   | 値を取得するための名前。name属性とvalue属性のどちらか一方を指定する。
value                                  | 値。直接値を指定する場合に使用する。name属性とvalue属性のどちらか一方を指定する。
scope                                  | 変数を格納するスコープを設定する。
                                       | 指定できるスコープを下記に示す。
                                       | page: ページスコープ
                                       | request: リクエストスコープ
                                       | デフォルトはリクエストスコープ。
bySingleValue                          | name属性に対応する値を単一値として取得するか否か。
                                       | デフォルトはtrue。
====================================== ==========================================================================================

.. _WebView_IncludeTag:

includeタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
path(必須)                             | インクルード先のパス。
====================================== ==========================================================================================

.. _WebView_IncludeParamTag:

includeParamタグ
-------------------------

====================================== ==========================================================================================
属性                                   | 説明
====================================== ==========================================================================================
paramName(必須)                        | インクルード時に使用するパラメータの名前。
name                                   | 値を取得するための名前。name属性とvalue属性のどちらか一方を指定する。
value                                  | 値。直接値を指定する場合に使用する。name属性とvalue属性のどちらか一方を指定する。
====================================== ==========================================================================================

